,Latitude,Longitude,Speed,Temperature,Position time,velocity
1,43.079879999999996,5.9981800000000005,0.0,20.7,10:30:00,0.12289574180743627
2,43.07974,5.9975,0.0,20.7,10:40:00,0.09566288472970855
3,43.07973,5.9966800000000005,0.0,20.8,10:50:00,0.11104717033048032
4,43.07993,5.99578,0.0,20.8,11:00:00,0.1273792648913306
5,43.08014,5.99489,0.0,20.8,11:10:00,0.12664161934635138
6,43.08039,5.994,0.0,20.9,11:20:00,0.12911367573074967
7,43.08072,5.9930699999999995,0.0,20.9,11:30:00,0.13999833589607916
8,43.08119,5.99201,0.0,20.9,11:40:00,0.16790274735216582
9,43.08171,5.99098,0.0,20.9,11:50:00,0.16953660029021622
10,43.08229,5.98994,0.0,20.9,12:00:00,0.17717228096799836
11,43.0828,5.98906,0.0,20.9,12:10:00,0.15210413078853136
12,43.08334,5.98822,0.0,20.9,12:20:00,0.15151472492747292
13,43.08395,5.98746,0.0,20.9,12:30:00,0.15289375890187765
14,43.08449,5.9867,0.0,20.9,12:40:00,0.1435610292859973
15,43.08509,5.98581,0.0,20.9,12:50:00,0.1639888476666443
16,43.0857,5.98497,0.0,20.9,13:00:00,0.16038161888751085
17,43.08633,5.9841,0.0,20.9,13:10:00,0.16587543917282047
18,43.086940000000006,5.98326,0.0,20.9,13:20:00,0.1603799864179137
19,43.087540000000004,5.98249,0.0,20.9,13:30:00,0.15244627537750077
20,43.08814,5.98168,0.0,20.9,13:40:00,0.15619884843389586
