,Latitude,Longitude,Speed,Temperature,Position time,velocity
1,43.07717,5.97275,0.0,20.8,10:40:00,0.09860487907606717
2,43.07683,5.97215,0.0,20.8,10:49:59,0.1030005408706396
3,43.0765,5.97161,0.0,20.9,11:00:00,0.09517968056294623
4,43.07614,5.97109,0.0,20.9,11:09:59,0.09717802580367856
5,43.0758,5.9705,0.0,21.0,11:19:59,0.10176341756941501
6,43.07547,5.96989,0.0,21.0,11:30:00,0.10261850599849447
7,43.07519,5.96933,0.0,21.0,11:40:00,0.09189587356460306
8,43.07498,5.9686699999999995,0.0,20.9,11:49:59,0.09764734735204947
9,43.075070000000004,5.967280000000001,0.0,21.0,12:09:59,0.09448237154822012
10,43.075359999999996,5.96667,0.0,21.0,12:19:58,0.09872154406941007
11,43.0758,5.966130000000001,0.0,21.0,12:29:58,0.10954660123084133
12,43.07626,5.96581,0.0,20.9,12:39:59,0.09549489988524269
13,43.07683,5.9656199999999995,0.0,21.0,12:49:59,0.10875540657538943
14,43.077459999999995,5.96553,0.8861100000000001,21.1,13:00:00,0.11723005931989021
15,43.07833,5.96554,0.0,21.0,13:10:00,0.16128894233309804
16,43.079159999999995,5.96575,0.0,21.0,13:19:59,0.15673458952748887
17,43.07993,5.96631,0.0,21.0,13:29:59,0.1616348317769362
18,43.08058,5.96705,0.0,21.0,13:39:59,0.15671548070841415
19,43.081140000000005,5.96788,0.0,21.0,13:50:00,0.15274067234430577
20,43.08157,5.968780000000001,0.0,21.0,13:59:59,0.14586074568917443
21,43.08201,5.96985,0.0,21.0,14:10:00,0.16598535411377377
22,43.08233,5.97072,0.0,21.0,14:20:00,0.13189146184465877
