,Latitude,Longitude,Position time,velocity
1,43.0772,5.98309,10:10:31,0.10769432500710724
2,43.07692,5.98229,10:20:27,0.12092859141634606
3,43.07677,5.98203,10:25:24,0.09063428201894923
4,43.07659,5.9817800000000005,10:30:23,0.09538634806136295
5,43.07645,5.9815,10:35:20,0.09282288726697435
6,43.07632,5.981240000000001,10:40:19,0.08561626979810345
7,43.07617,5.9810300000000005,10:45:18,0.07981207775828802
8,43.07604,5.98081,10:50:17,0.07689283808407262
9,43.0759,5.98064,10:55:15,0.06984921870413796
10,43.075759999999995,5.98042,11:00:16,0.07875868122622301
11,43.07582,5.97989,11:05:36,0.13617343391347217
12,43.07565,5.9797199999999995,11:10:13,0.08453581720419569
13,43.07547,5.9795,11:15:14,0.08916766729037565
14,43.0753,5.97929,11:20:18,0.08377966871263494
15,43.075109999999995,5.97907,11:25:19,0.09195743333524457
16,43.074940000000005,5.97886,11:30:21,0.08433472329879024
17,43.07479,5.9786,11:35:25,0.08854907037561066
18,43.07463,5.9783599999999995,11:40:26,0.08770822073972205
19,43.0745,5.97811,11:45:30,0.08201821302883565
20,43.0744,5.97785,11:50:31,0.07931668155568251
21,43.074290000000005,5.977609999999999,11:55:32,0.0764805929538597
22,43.0742,5.9774,12:00:30,0.06638382887423844
23,43.074020000000004,5.9772099999999995,12:05:55,0.07779034863399169
24,43.074040000000004,5.97701,12:10:31,0.05942615211269359
25,43.07376,5.97701,12:15:30,0.10416171673922134
26,43.07367,5.97688,12:20:31,0.0483479576359608
27,43.0736,5.976780000000001,12:25:30,0.037636948507771786
28,43.07352,5.9766900000000005,12:30:32,0.03813774900294538
29,43.07346,5.97656,12:35:31,0.04178709690193125
30,43.07347,5.97635,12:40:34,0.05643211178148539
31,43.07362,5.97613,12:45:33,0.08177886700260162
32,43.07356,5.976,12:50:35,0.04137194504167506
33,43.07351,5.97588,12:55:33,0.03766692236322125
34,43.07349,5.97575,13:00:35,0.03574286705920969
35,43.07347,5.9756,13:05:57,0.038475194342536684
36,43.07346,5.97549,13:10:34,0.03251465517351695
37,43.07346,5.97536,13:15:33,0.03532653205734428
38,43.07343,5.975280000000001,13:20:32,0.02443668631285649
39,43.07343,5.9751900000000004,13:25:32,0.02437531905197295
40,43.07343,5.9751199999999995,13:30:33,0.01889559616446356
41,43.07343,5.97506,13:35:31,0.0163592745313091
42,43.0734,5.97506,13:40:29,0.011197634219282687
43,43.073370000000004,5.97506,13:45:30,0.011086029889165103
44,43.07339,5.97506,13:50:28,0.00746508947952179
